1466,3323
2457,2827
2610,734
1211,2198
990,598
253,3352
2372,3513
1850,3627
1186,2819
2098,3867
1283,498
920,213
798,1486
1780,1617
2010,3581
915,1185
2815,2919
2376,1480
2254,16
2809,21
1232,3662
2333,3365
388,4460
608,1747
1561,3203
835,3489
1253,1797
1918,3330
2532,2199
2380,2041
864,424
1396,3560
900,460
2004,120
2112,1518
2470,4253
2514,2871
2434,1523
900,798
1967,1754
641,2784
305,76
752,2137
1136,3491
346,4408
255,3670
1174,1522
978,2809
351,2180
2633,224
2568,836
239,2128
2517,4127
1970,3072
2497,3187
2312,1104
2462,3252
2102,1033
1142,1554
990,1792
1110,3431
616,2088
824,19
596,2727
282,942
1801,1536
2437,3576
2542,3240
782,2039
2085,2815
2064,330
681,1819
646,3611
991,1881
1045,792
2420,1114
1747,3321
1202,3085
2182,1050
455,2794
2324,1142
245,4268
2437,603
2007,1016
1654,3253
1925,886
1744,3460
1912,1929
999,139
1085,2621
2365,3283
252,299
978,1327
2382,2329
2404,4124
2000,2922
1136,1180
893,4115
2496,975
2081,2698
